2022-08-26T14:21:54.851Z	[34mINFO[0m	logger/logger.go:66	/static/word/js/chunk-vendors.59e433bf.js	{"status": 200, "method": "GET", "path": "/static/word/js/chunk-vendors.59e433bf.js", "query": "", "ip": "207.148.70.214", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36", "errors": "", "cost": 0.000581796}
2022-08-26T14:21:57.940Z	[34mINFO[0m	logger/logger.go:66	/static/word/fonts/element-icons.535877f5.woff	{"status": 200, "method": "GET", "path": "/static/word/fonts/element-icons.535877f5.woff", "query": "", "ip": "207.148.70.214", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36", "errors": "", "cost": 0.000258216}
2022-08-26T14:21:58.127Z	[34mINFO[0m	logger/logger.go:66	/static/word/favicon.ico	{"status": 200, "method": "GET", "path": "/static/word/favicon.ico", "query": "", "ip": "207.148.70.214", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36", "errors": "", "cost": 0.000236335}
2022-08-26T14:22:04.923Z	[34mINFO[0m	logger/logger.go:66	/uploadWords	{"status": 200, "method": "POST", "path": "/uploadWords", "query": "", "ip": "207.148.70.214", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36", "errors": "", "cost": 0.153605457}
2022-08-26T14:22:09.229Z	[34mINFO[0m	logger/logger.go:66	/setWordLibrary	{"status": 200, "method": "POST", "path": "/setWordLibrary", "query": "action=GET", "ip": "207.148.70.214", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36", "errors": "", "cost": 0.000944178}
2022-08-26T18:28:43.635Z	[34mINFO[0m	logger/logger.go:66	/static/word/	{"status": 200, "method": "GET", "path": "/static/word/", "query": "", "ip": "103.77.192.6", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63", "errors": "", "cost": 0.000133731}
2022-08-26T18:28:44.317Z	[34mINFO[0m	logger/logger.go:66	/static/word/favicon.ico	{"status": 200, "method": "GET", "path": "/static/word/favicon.ico", "query": "", "ip": "103.77.192.6", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63", "errors": "", "cost": 0.000257925}
2022-09-03T13:25:22.324Z	[34mINFO[0m	logger/logger.go:66	/static/word/	{"status": 200, "method": "GET", "path": "/static/word/", "query": "", "ip": "185.175.230.202", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36", "errors": "", "cost": 0.000469514}
2022-09-03T13:25:22.481Z	[34mINFO[0m	logger/logger.go:66	/static/word/js/index.9bdc5042.js	{"status": 200, "method": "GET", "path": "/static/word/js/index.9bdc5042.js", "query": "", "ip": "185.175.230.202", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36", "errors": "", "cost": 0.000273064}
2022-09-03T13:25:22.482Z	[34mINFO[0m	logger/logger.go:66	/static/word/css/chunk-vendors.a16c4353.css	{"status": 200, "method": "GET", "path": "/static/word/css/chunk-vendors.a16c4353.css", "query": "", "ip": "185.175.230.202", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36", "errors": "", "cost": 0.000528856}
2022-09-03T13:25:22.487Z	[34mINFO[0m	logger/logger.go:66	/static/word/js/chunk-vendors.59e433bf.js	{"status": 200, "method": "GET", "path": "/static/word/js/chunk-vendors.59e433bf.js", "query": "", "ip": "185.175.230.202", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36", "errors": "", "cost": 0.002456459}
2022-09-03T13:25:22.488Z	[34mINFO[0m	logger/logger.go:66	/static/word/css/index.d0bb6539.css	{"status": 200, "method": "GET", "path": "/static/word/css/index.d0bb6539.css", "query": "", "ip": "185.175.230.202", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36", "errors": "", "cost": 0.000219564}
2022-09-03T13:25:22.837Z	[34mINFO[0m	logger/logger.go:66	/static/word/fonts/element-icons.535877f5.woff	{"status": 200, "method": "GET", "path": "/static/word/fonts/element-icons.535877f5.woff", "query": "", "ip": "185.175.230.202", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36", "errors": "", "cost": 0.000339741}
2022-09-03T13:25:22.891Z	[34mINFO[0m	logger/logger.go:66	/static/word/favicon.ico	{"status": 200, "method": "GET", "path": "/static/word/favicon.ico", "query": "", "ip": "185.175.230.202", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36", "errors": "", "cost": 0.000237106}
2022-09-03T13:26:45.105Z	[34mINFO[0m	logger/logger.go:66	/	{"status": 404, "method": "GET", "path": "/", "query": "", "ip": "27.115.124.6", "user-agent": "Mozilla/5.0 (Linux; U; Android 8.0.0; zh-cn; Mi Note 2 Build/OPR1.170623.032) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/61.0.3163.128 Mobile Safari/537.36 XiaoMi/MiuiBrowser/10.1.1", "errors": "", "cost": 0.000030218}
2022-09-03T13:26:57.240Z	[34mINFO[0m	logger/logger.go:66	/	{"status": 404, "method": "GET", "path": "/", "query": "", "ip": "180.163.220.5", "user-agent": "Mozilla/5.0 (Linux; U; Android 8.0.0; zh-cn; Mi Note 2 Build/OPR1.170623.032) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/61.0.3163.128 Mobile Safari/537.36 XiaoMi/MiuiBrowser/10.1.1", "errors": "", "cost": 0.000041628}
